holiday,workingday,temp,atemp,humidity,windspeed,casual,registered,count,hour,day,weekday,month,year,season_name_spring,season_name_summer,season_name_winter,weather_desc_heavy_rain_storm,weather_desc_light_snow_rain,weather_desc_mist
0,1,28.7,33.335,79,12.998,33,377,410,18,9,4,9,2011,False,False,False,False,False,False
0,1,27.06,29.545,89,11.0014,33,316,349,19,9,4,9,2011,False,False,False,False,False,False
0,1,26.24,28.03,94,6.0032,30,180,210,20,9,4,9,2011,False,False,False,False,False,False
0,1,27.06,29.545,89,0.0,49,154,203,21,9,4,9,2011,False,False,False,False,False,False
0,1,25.42,27.275,94,0.0,33,127,160,22,9,4,9,2011,False,False,False,False,False,False
0,1,25.42,27.275,94,6.0032,35,113,148,23,9,4,9,2011,False,False,False,False,False,False
0,0,25.42,27.275,94,0.0,32,84,116,0,10,5,9,2011,False,False,False,False,False,False
0,0,25.42,27.275,94,0.0,16,67,83,1,10,5,9,2011,False,False,False,False,False,True
0,0,24.6,25.0,97,7.0015,18,46,64,2,10,5,9,2011,False,False,False,False,False,True
0,0,23.78,27.275,100,8.9981,8,29,37,3,10,5,9,2011,False,False,False,False,False,False
0,0,23.78,27.275,94,6.0032,3,4,7,4,10,5,9,2011,False,False,False,False,False,False
0,0,23.78,27.275,94,8.9981,2,6,8,5,10,5,9,2011,False,False,False,False,False,False
0,0,23.78,27.275,94,11.0014,0,6,6,6,10,5,9,2011,False,False,False,False,False,False
0,0,24.6,27.275,88,8.9981,9,43,52,7,10,5,9,2011,False,False,False,False,False,False
0,0,25.42,28.79,83,11.0014,16,103,119,8,10,5,9,2011,False,False,False,False,False,False
0,0,26.24,29.545,78,19.9995,39,168,207,9,10,5,9,2011,False,False,False,False,False,False
0,0,28.7,32.575,65,16.9979,85,233,318,10,10,5,9,2011,False,False,False,False,False,False
0,0,29.52,34.09,62,16.9979,108,252,360,11,10,5,9,2011,False,False,False,False,False,False
0,0,29.52,34.09,62,15.0013,144,260,404,12,10,5,9,2011,False,False,False,False,False,False
0,0,30.34,34.09,55,19.0012,131,239,370,13,10,5,9,2011,False,False,False,False,False,False
0,0,30.34,34.09,55,19.0012,129,230,359,14,10,5,9,2011,False,False,False,False,False,False
0,0,30.34,34.09,55,15.0013,217,263,480,15,10,5,9,2011,False,False,False,False,False,False
0,0,30.34,34.09,55,12.998,170,261,431,16,10,5,9,2011,False,False,False,False,False,False
0,0,30.34,34.09,55,15.0013,185,275,460,17,10,5,9,2011,False,False,False,False,False,False
0,0,29.52,33.335,58,12.998,119,241,360,18,10,5,9,2011,False,False,False,False,False,False
0,0,28.7,32.575,58,8.9981,101,214,315,19,10,5,9,2011,False,False,False,False,False,False
0,0,27.06,31.06,69,7.0015,78,167,245,20,10,5,9,2011,False,False,False,False,False,False
0,0,26.24,29.545,78,6.0032,59,171,230,21,10,5,9,2011,False,False,False,False,False,False
0,0,26.24,29.545,78,0.0,49,126,175,22,10,5,9,2011,False,False,False,False,False,False
0,0,25.42,28.03,88,0.0,32,107,139,23,10,5,9,2011,False,False,False,False,False,True
0,0,25.42,28.03,88,0.0,29,79,108,0,11,6,9,2011,False,False,False,False,False,False
0,0,25.42,28.03,88,0.0,22,66,88,1,11,6,9,2011,False,False,False,False,False,True
0,0,25.42,29.545,78,12.998,16,60,76,2,11,6,9,2011,False,False,False,False,False,True
0,0,25.42,29.545,78,6.0032,15,30,45,3,11,6,9,2011,False,False,False,False,False,True
0,0,24.6,28.03,83,8.9981,3,6,9,4,11,6,9,2011,False,False,False,False,False,False
